year,country,code,gdp,pop,unemp,hc
2000,Papua New Guinea,PNG,9608075735,5847590,2.92,NA
2000,Paraguay,PRY,19005332491,5323202,9.36,NA
2000,Peru,PER,85798462918,26459944,5.78,NA
2000,Philippines,PHL,1.30146E+11,77991757,3.71,NA
2000,Poland,POL,3.26937E+11,38258629,16.31,NA
2000,Portugal,PRT,2.21207E+11,10289898,3.81,NA
2000,Post-demographic dividend,PST,3.63025E+13,1020504874,6.537487138,NA
2000,Pre-demographic dividend,PRE,5.81029E+11,550660000,5.057886672,NA
2000,Puerto Rico,PRI,92068670407,3810605,10.08,NA
2000,Qatar,QAT,36044298338,592467,0.57,NA
2000,Romania,ROU,1.09952E+11,22442971,6.97,NA
2000,Russian Federation,RUS,9.51571E+11,146596869,10.58,NA
2000,Rwanda,RWA,2784680700,7933688,0.77,NA
2000,Samoa,WSM,498174444.5,174454,4.64,NA
2000,San Marino,SMR,1702450125,27460,NA,NA
2000,Sao Tome and Principe,STP,NA,142264,14.4,NA
2000,Saudi Arabia,SAU,3.79223E+11,20663840,4.57,NA
2000,Senegal,SEN,11558897217,9797731,5.64,NA
2000,Serbia,SRB,26442039541,7516346,12.6,NA
2000,Seychelles,SYC,794294458,81131,NA,NA
2000,Sierra Leone,SLE,1385751986,4584570,3.44,NA
2000,Singapore,SGP,1.36347E+11,4027887,3.7,NA
2000,Sint Maarten (Dutch part),SXM,NA,30519,NA,NA
2000,Slovak Republic,SVK,55615077762,5388720,19.06,NA
2000,Slovenia,SVN,36841188520,1988925,6.92,NA
2000,Small states,SST,2.23956E+11,29393017,12.27205463,NA
2000,Solomon Islands,SLB,611464618.7,412665,2.13,NA
2000,Somalia,SOM,NA,8872250,13.54,NA
2000,South Africa,ZAF,2.67001E+11,44967713,29.88,NA
2000,South Asia,SAS,1.11147E+12,1390946065,5.094476901,NA
2000,South Asia (IDA & IBRD),TSA,1.11147E+12,1390946065,5.094476901,NA
2000,South Sudan,SSD,NA,6199396,12.72,NA
2000,Spain,ESP,1.15248E+12,40567864,13.79,NA
2000,Sri Lanka,LKA,34271798041,18777606,7.74,NA
2000,St. Kitts and Nevis,KNA,618835136.6,44083,NA,NA
2000,St. Lucia,LCA,1229867084,156737,16.49,NA
2000,St. Martin (French part),MAF,NA,28935,NA,NA
2000,St. Vincent and the Grenadines,VCT,512301886.6,107787,21.03,NA
2000,Sub-Saharan Africa,SSF,8.16851E+11,665327588,6.589539102,NA
2000,Sub-Saharan Africa (excluding high income),SSA,8.16055E+11,665246457,6.589539102,NA
2000,Sub-Saharan Africa (IDA & IBRD countries),TSS,8.16851E+11,665327588,6.589539102,NA
2000,Sudan,SDN,34053062528,27275019,15.45,NA
2000,Suriname,SUR,2696863364,470944,12.69,NA
2000,Sweden,SWE,3.98727E+11,8872109,5.47,NA
2000,Switzerland,CHE,4.99902E+11,7184250,2.67,NA
2000,Syrian Arab Republic,SYR,NA,16410847,9.51,NA
2000,Tajikistan,TJK,2582976171,6216329,14.96,NA
2000,Tanzania,TZA,16992936425,33499177,3.08,NA
2000,Thailand,THA,2.17712E+11,62952639,2.39,NA
2000,Timor-Leste,TLS,566700966,884366,3.36,NA
2000,Togo,TGO,2751022118,4924406,4.46,NA
2000,Tonga,TON,336741490.1,97962,3.74,NA
2000,Trinidad and Tobago,TTO,12400244898,1267159,3.61,NA
2000,Tunisia,TUN,29142186021,9708347,14.94,NA
2000,Turkey,TUR,5.23536E+11,63240196,6.5,NA
2000,Turkmenistan,TKM,10753701529,4516128,11.67,NA
2000,Turks and Caicos Islands,TCA,NA,20171,NA,NA
2000,Tuvalu,TUV,29009173.71,9392,NA,NA
2000,Uganda,UGA,13036913712,23650159,2.85,NA
2000,Ukraine,UKR,89401541681,49176500,11.71,NA
2000,United Arab Emirates,ARE,1.98234E+11,3134067,2.25,NA
2000,United Kingdom,GBR,2.11774E+12,58892514,5.56,NA
2000,United States,USA,1.26203E+13,282162411,3.99,NA
2000,Upper middle income,UMC,8.19995E+12,2183135807,5.58194721,NA
2000,Uruguay,URY,29883433689,3319734,12.63,NA
2000,Uzbekistan,UZB,24133037752,24650400,12.06,NA
2000,Vanuatu,VUT,521637426.2,184964,4.72,NA
2000,"Venezuela, RB",VEN,2.8896E+11,24192449,13.99,NA
2000,Vietnam,VNM,61146300623,79910411,2.26,NA
2000,Virgin Islands (U.S.),VIR,NA,108642,6.76,NA
2000,West Bank and Gaza,PSE,6218556724,2922153,10.63,NA
2000,World,WLD,4.99995E+13,6114332517,5.804660271,NA
2000,"Yemen, Rep.",YEM,20345854642,17409071,11.57,NA
2000,Zambia,ZMB,9881983407,10415942,12.93,NA
2000,Zimbabwe,ZWE,17216768309,11881482,5.64,NA
2001,Afghanistan,AFG,NA,21606992,11.63,NA
2001,Africa Eastern and Southern,AFE,5.25973E+11,408522129,7.673219513,NA
2001,Africa Western and Central,AFW,3.25944E+11,274433894,4.75881974,NA
2001,Albania,ALB,7508515183,3060173,16.54,NA
2001,Algeria,DZA,1.1375E+11,31451513,27.3,NA
2001,American Samoa,ASM,NA,58496,NA,NA
2001,Andorra,AND,2854792523,67344,NA,NA
2001,Angola,AGO,37676079529,16945753,3.85,NA
2001,Antigua and Barbuda,ATG,952300505.1,77212,NA,NA
2001,Arab World,ARB,1.40684E+12,288432153,12.31786352,NA
2001,Argentina,ARG,2.89861E+11,37275644,17.32,NA
2001,Armenia,ARM,4720178403,3050686,10.91,NA
2001,Aruba,ABW,2505092565,92892,NA,NA
2001,Australia,AUS,8.65533E+11,19413000,6.74,NA
2001,Austria,AUT,3.40759E+11,8042293,4.01,NA
2001,Azerbaijan,AZE,14674643429,8111200,10.91,NA
2001,"Bahamas, The",BHS,9656711992,302618,6.87,NA
2001,Bahrain,BHR,15636329787,697550,0.98,NA
2001,Bangladesh,BGD,70415938962,130088709,3.59,NA
2001,Barbados,BRB,4127500000,272494,9.85,NA
2001,Belarus,BLR,29352914216,9928549,11.23,NA
2001,Belgium,BEL,4.10295E+11,10286570,6.18,NA
2001,Belize,BLZ,1000261006,255068,9.07,NA
2001,Benin,BEN,6868608529,7076728,0.75,NA
2001,Bermuda,BMU,6355501884,62504,NA,NA
2001,Bhutan,BTN,717057834.2,603643,1.9,NA
2001,Bolivia,BOL,13708143466,8580244,2.88,NA
2001,Bosnia and Herzegovina,BIH,11807660369,3755514,26.59,NA
2001,Botswana,BWA,8584992741,1674674,18.54,NA
2001,Brazil,BRA,1.56009E+12,177196051,9.61,NA
2001,British Virgin Islands,VGB,NA,20675,NA,NA
2001,Brunei Darussalam,BRN,12299643564,340037,5.64,NA
2001,Bulgaria,BGR,33798124235,8009142,19.92,NA
2001,Burkina Faso,BFA,6057314713,11944589,2.63,NA
2001,Burundi,BDI,1492133616,6525546,1.86,NA
2001,Cabo Verde,CPV,969632085,435701,10.76,NA
2001,Cambodia,KHM,5631670884,12405411,1.12,NA
2001,Cameroon,CMR,18564848458,15928910,7.46,NA
2001,Canada,CAN,1.22705E+12,31020902,7.22,NA
2001,Caribbean small states,CSS,50158497436,6559097,11.28653526,NA
2001,Cayman Islands,CYM,NA,43934,NA,NA
2001,Central African Republic,CAF,1608135729,3722016,4.45,NA
2001,Central Europe and the Baltics,CEB,9.51018E+11,107660041,13.22653744,NA
2001,Chad,TCD,4312724534,8678049,1.09,NA
2001,Channel Islands,CHI,NA,149097,5.94,NA
2001,Chile,CHL,1.49298E+11,15516112,10.39,NA
2001,China,CHN,2.41825E+12,1271850000,3.8,NA
2001,Colombia,COL,1.95949E+11,40255956,15.04,NA
2001,Comoros,COM,719324761.7,555895,4.58,NA
2001,"Congo, Dem. Rep.",COD,13373160544,48428534,2.9,NA
2001,"Congo, Rep.",COG,8492829232,3217930,19.96,NA
2001,Costa Rica,CRI,25305241322,4034074,5.92,NA
