year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar,dist,distw,distwces,trade,atopally
2008,SYC,5,7,925654158.7,86956,8.53,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,8389044,0
2009,SYC,5,7,915423405.1,87298,8.46,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,10726531,0
2010,SYC,5,7,969936525.3,89770,7.26,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,10569533,0
2011,SYC,5,6,1046438131,87441,8.64,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,24047402,0
2012,SYC,5.5,6,1059631925,88303,10.7,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,23048228,0
2013,SYC,5,7,1123401388,89949,10.16,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,27204654,0
2014,SYC,4.5,6,1174008208,91359,12.71,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,30475106,0
2000,ARG,6.5,8,303230000000,36870796,15,18.99999999,0,19297.466796875,19110.127210772705,19099.0293440421,642548352,0
2001,ARG,5,8,289861000000,37275644,17.32,32.99999998,0,19297.466796875,19110.127210772705,19099.0293440421,740731456,0
2002,ARG,5,8,258282000000,37681743,19.59,21.00000002,0,19297.466796875,19110.127210772705,19099.0293440421,220343712,0
2003,ARG,6,8,281106000000,38087866,15.36,31.99999999,0,19297.466796875,19110.127210772705,19099.0293440421,441104160,0
2004,ARG,6,8,306489000000,38491970,13.52,6.99999997,0,19297.466796875,19110.127210772705,19099.0293440421,482359424,0
2005,ARG,6,8,333618000000,38892924,11.51,14,0,19297.466796875,19110.127210772705,19099.0293440421,840578432,0
2006,ARG,6,8,360465000000,39289876,10.08,2.999999999,0,19297.466796875,19110.127210772705,19099.0293440421,1696603520,0
2007,ARG,6,8,392935000000,39684303,8.47,14,0,19297.466796875,19110.127210772705,19099.0293440421,2545313792,0
2008,ARG,6,8,408877000000,40080159,7.84,11,0,19297.466796875,19110.127210772705,19099.0293440421,3864274432,0
2009,ARG,6,8,384677000000,40482786,8.65,21.99999999,0,19297.466796875,19110.127210772705,19099.0293440421,3095718656,0
2010,ARG,6,8,423627000000,40788453,7.71,6.999999992,0,19297.466796875,19110.127210772705,19099.0293440421,4680210944,0
2011,ARG,6,8,449062000000,41261490,7.18,1.999999996,0,19297.466796875,19110.127210772705,19099.0293440421,6327666176,0
2012,ARG,6,8,444453000000,41733271,7.22,4.000000008,0,19297.466796875,19110.127210772705,19099.0293440421,6301520896,0
2013,ARG,6,8,455143000000,42202935,7.1,58.00000086,0,19297.466796875,19110.127210772705,19099.0293440421,7268020224,0
2014,ARG,6,8,443707000000,42669500,7.27,7.999999993,0,19297.466796875,19110.127210772705,19099.0293440421,6431909888,0
2000,MEX,5.5,8,915216000000,98899845,2.65,71.44645625,0,12467.1669921875,12411.547433432006,12332.445138028474,3077307904,0
2001,MEX,5.5,8,911515000000,100298152,2.63,40.99999957,0,12467.1669921875,12411.547433432006,12332.445138028474,3077307904,0
2002,MEX,6,8,911152000000,101684764,3,71.26216508,0,12467.1669921875,12411.547433432006,12332.445138028474,4605059584,0
2003,MEX,6,8,924331000000,103081020,3.46,55.23986401,0,12467.1669921875,12411.547433432006,12332.445138028474,6333389312,0
2004,MEX,6,8,960570000000,104514934,3.94,90.61822066,0,12467.1669921875,12411.547433432006,12332.445138028474,8635761664,0
2005,MEX,6,8,982738000000,106005199,3.56,103.0415859,0,12467.1669921875,12411.547433432006,12332.445138028474,10706260992,0
2006,MEX,5.5,8,1026910000000,107560155,3.57,44.00154543,0,12467.1669921875,12411.547433432006,12332.445138028474,14610071552,0
2007,MEX,5.5,8,1050440000000,109170503,3.63,64.91740142,0,12467.1669921875,12411.547433432006,12332.445138028474,16351541248,0
2008,MEX,5.5,8,1062460000000,110815272,3.87,48.03188916,0,12467.1669921875,12411.547433432006,12332.445138028474,20757360640,0
2009,MEX,5.5,9,1006300000000,112463886,5.36,49.00000071,0,12467.1669921875,12411.547433432006,12332.445138028474,22969081856,0
2010,MEX,5.5,8,1057800000000,114092961,5.3,193.3878488,0,12467.1669921875,12411.547433432006,12332.445138028474,32467869696,0
2011,MEX,5.5,8,1096550000000,115695468,5.17,120.7861037,0,12467.1669921875,12411.547433432006,12332.445138028474,35871129600,0
2012,MEX,6,8,1136490000000,117274156,4.89,37.74690073,0,12467.1669921875,12411.547433432006,12332.445138028474,39647543296,0
2013,MEX,6,8,1151880000000,118827158,4.91,111.6907696,0,12467.1669921875,12411.547433432006,12332.445138028474,43147374592,0
2014,MEX,5.5,8,1184700000000,120355137,4.81,48.14020057,0,12467.1669921875,12411.547433432006,12332.445138028474,44292333568,0
2000,NZL,7,10,113286000000,3857700,6.13,2.000000015,0,11041.02734375,10240.932735619353,10217.945076892232,460556128,0
2001,NZL,7,10,117211000000,3880500,5.43,1.999999995,0,11041.02734375,10240.932735619353,10217.945076892232,646296640,0
2002,NZL,7,10,122690000000,3948500,5.28,1.999999958,0,11041.02734375,10240.932735619353,10217.945076892232,806699264,0
2003,NZL,7,10,128272000000,4027200,4.75,3.000000009,0,11041.02734375,10240.932735619353,10217.945076892232,1022234176,0
2004,NZL,7,10,133439000000,4087500,4.01,14.99999985,0,11041.02734375,10240.932735619353,10217.945076892232,1228358784,0
2005,NZL,7,10,137871000000,4133900,3.81,0,0,11041.02734375,10240.932735619353,10217.945076892232,1563556352,1
2006,NZL,7,10,141843000000,4184600,3.86,4.000000047,0,11041.02734375,10240.932735619353,10217.945076892232,1759892352,1
2007,NZL,7,10,146137000000,4223800,3.66,1.000000012,0,11041.02734375,10240.932735619353,10217.945076892232,2063928448,1
2008,NZL,7,10,144508000000,4259800,4.17,11.00000009,0,11041.02734375,10240.932735619353,10217.945076892232,2464448768,1
2009,NZL,6.5,10,144312000000,4302600,6.12,7.000000034,0,11041.02734375,10240.932735619353,10217.945076892232,2483218944,1
2010,NZL,6.5,9,146518000000,4350700,6.56,1.00000008,0,11041.02734375,10240.932735619353,10217.945076892232,3170905344,1
2011,NZL,6,9,149824000000,4384000,6.49,366.9998805,0,11041.02734375,10240.932735619353,10217.945076892232,3686370304,1
2012,NZL,6.5,10,153181000000,4408100,6.93,3.999999982,0,11041.02734375,10240.932735619353,10217.945076892232,3976579584,1
2013,NZL,7,10,157311000000,4442100,5.77,4.000000006,0,11041.02734375,10240.932735619353,10217.945076892232,4433292288,1
2014,NZL,6,9,163310000000,4516500,5.37,3.000000128,0,11041.02734375,10240.932735619353,10217.945076892232,4367688704,1
2000,SRB,2.5,0,26442039541,7516346,12.6,4.999999982,0,7720.185416666666,7888.061920113525,7822.4436827525005,45630008,0
2001,SRB,2.5,-3,28260927884,7503433,12.8,6.000000013,0,7720.185416666666,7888.061920113525,7822.4436827525005,148857008,0
