recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
GEO,2011,0.45,49,1
GEO,2012,0.59,55,1
GEO,2013,0.27,21,1
GEO,2014,0.27,18,1
GEO,2015,0.32,17,1
GEO,2016,0.21,11,1
GEO,2017,0.47,25,1
GRD,2000,0,0,1
GRD,2001,0.02,1,1
GRD,2002,0,0,1
GRD,2003,0,0,1
GRD,2004,0.24,12,1
GRD,2005,0.06,3,1
GRD,2006,0.02,1,1
GRD,2007,0.02,1,1
GRD,2008,0.04,2,1
GRD,2009,0.02,2,1
GRD,2010,0.02,2,1
GRD,2011,0.02,2,1
GRD,2012,0.02,2,1
GRD,2013,0,0,1
GRD,2014,0.04,3,1
GRD,2015,0,0,1
GRD,2016,0,0,1
GRD,2017,0,0,1
GUM,2000,0,0,1
GUM,2001,0,0,1
GUM,2002,0,0,1
GUM,2003,0.02,1,1
GUM,2004,0,0,1
GUM,2005,0,0,1
GUM,2006,0,0,1
GUM,2007,0,0,1
GUM,2008,0,0,1
GUM,2009,0.02,2,1
GUM,2010,0.03,4,1
GUM,2011,0.04,4,1
GUM,2012,0,0,1
GUM,2013,0.05,4,1
GUM,2014,0,0,1
GUM,2015,0.02,1,1
GUM,2016,0,0,1
GUM,2017,0.06,3,1
GIN,2000,0,0,1
GIN,2001,0,0,1
GIN,2002,0,0,1
GIN,2003,0,0,1
GIN,2004,0,0,1
GIN,2005,0,0,1
GIN,2006,0,0,1
GIN,2007,0,0,1
GIN,2008,0,0,1
GIN,2009,0,0,1
GIN,2010,0,0,1
GIN,2011,0.02,2,1
GIN,2012,0,0,1
GIN,2013,0,0,1
GIN,2014,0,0,1
GIN,2015,0,0,1
GIN,2016,0,0,1
GIN,2017,0,0,1
JOR,2000,0.94,46,1
JOR,2001,1.23,59,1
JOR,2002,0.85,39,1
JOR,2003,1.42,75,1
JOR,2004,1.7,86,1
JOR,2005,0.9,45,1
JOR,2006,1.28,66,1
JOR,2007,1.31,63,1
JOR,2008,1.36,61,1
JOR,2009,0.82,80,1
JOR,2010,0.92,106,1
JOR,2011,0.45,49,1
JOR,2012,1.24,116,1
JOR,2013,1.57,121,1
JOR,2014,1.3,87,1
JOR,2015,1.54,81,1
JOR,2016,1.1,58,1
JOR,2017,1.2,64,1
PNG,2000,0.12,6,1
PNG,2001,0.08,4,1
PNG,2002,0.31,14,1
PNG,2003,0.23,12,1
PNG,2004,0.28,14,1
PNG,2005,0.36,18,1
PNG,2006,0.45,23,1
PNG,2007,0.35,17,1
PNG,2008,0.36,16,1
PNG,2009,0.16,16,1
PNG,2010,0.3,34,1
PNG,2011,0.55,59,1
PNG,2012,0.25,23,1
PNG,2013,0.38,29,1
PNG,2014,0.16,11,1
PNG,2015,0.36,19,1
PNG,2016,0.17,9,1
PNG,2017,0.09,5,1
WSM,2000,0.04,2,1
WSM,2001,0.02,1,1
WSM,2002,0,0,1
WSM,2003,0.02,1,1
WSM,2004,0.14,7,1
WSM,2005,0.1,5,1
WSM,2006,0.12,6,1
WSM,2007,0.06,3,1
WSM,2008,0,0,1
WSM,2009,0.24,23,1
WSM,2010,0.03,4,1
WSM,2011,0.22,24,1
WSM,2012,0.19,18,1
WSM,2013,0.22,17,1
WSM,2014,0.18,12,1
WSM,2015,0.1,5,1
WSM,2016,0.08,4,1
WSM,2017,0.04,2,1
MNG,2000,0.02,1,1
MNG,2001,0.04,2,1
MNG,2002,0.02,1,1
MNG,2003,0,0,1
MNG,2004,0.02,1,1
MNG,2005,0.08,4,1
MNG,2006,0,0,1
MNG,2007,0,0,1
MNG,2008,0,0,1
MNG,2009,0.02,2,1
MNG,2010,0,0,1
MNG,2011,0.04,4,1
MNG,2012,0,0,1
MNG,2013,0,0,1
MNG,2014,0.03,2,1
MNG,2015,0,0,1
MNG,2016,0,0,1
MNG,2017,0.02,1,1
AFG,2000,0.24,12,1
AFG,2001,4.83,231,1
AFG,2002,4.68,214,1
AFG,2003,2.75,146,1
AFG,2004,2.34,118,1
AFG,2005,1.92,96,1
AFG,2006,1.92,99,1
AFG,2007,2.16,104,1
AFG,2008,1.91,85,1
AFG,2009,2.89,281,1
AFG,2010,2.18,250,1
AFG,2011,1.34,145,1
AFG,2012,1.36,127,1
AFG,2013,1.72,132,1
AFG,2014,1.54,103,1
AFG,2015,1.43,75,1
AFG,2016,1.16,61,1
AFG,2017,1.07,57,1
IRN,2000,1.22,60,1
IRN,2001,1.44,69,1
IRN,2002,1.53,70,1
IRN,2003,1.79,95,1
IRN,2004,1.39,70,1
IRN,2005,1.14,57,1
IRN,2006,2.19,113,1
IRN,2007,1.73,83,1
IRN,2008,1.1,49,1
IRN,2009,1.3,127,1
IRN,2010,1.31,150,1
IRN,2011,1.23,133,1
IRN,2012,2.13,199,1
IRN,2013,1.37,105,1
IRN,2014,1.27,85,1
IRN,2015,1.79,94,1
IRN,2016,1.95,103,1
IRN,2017,2.04,109,1
MUS,2000,0.16,8,1
MUS,2001,0.04,2,1
MUS,2002,0.04,2,1
MUS,2003,0.08,4,1
MUS,2004,0.14,7,1
MUS,2005,0.12,6,1
MUS,2006,0.23,12,1
MUS,2007,0.25,12,1
MUS,2008,0.04,2,1
MUS,2009,0.22,21,1
MUS,2010,0.23,26,1
MUS,2011,0.15,16,1
MUS,2012,0.29,27,1
MUS,2013,0.25,19,1
MUS,2014,0.12,8,1
MUS,2015,0.11,6,1
MUS,2016,0.09,5,1
MUS,2017,0.15,8,1
PAK,2000,1.33,65,1
PAK,2001,2.55,122,1
PAK,2002,2.19,100,1
PAK,2003,1.83,97,1
PAK,2004,1.29,65,1
PAK,2005,3.33,167,1
PAK,2006,1.95,101,1
PAK,2007,1.66,80,1
PAK,2008,1.39,62,1
PAK,2009,2.49,242,1
PAK,2010,3.3,379,1
PAK,2011,1.93,209,1
PAK,2012,1.02,95,1
PAK,2013,1.24,95,1
PAK,2014,1.63,109,1
PAK,2015,1.56,82,1
PAK,2016,1.17,62,1
PAK,2017,1.23,66,1
JAM,2000,0.06,3,1
JAM,2001,0.1,5,1
JAM,2002,0.02,1,1
JAM,2003,0.06,3,1
JAM,2004,0.24,12,1
JAM,2005,0.1,5,1
JAM,2006,0.08,4,1
JAM,2007,0.06,3,1
JAM,2008,0.16,7,1
JAM,2009,0.13,13,1
JAM,2010,0.03,4,1
JAM,2011,0.04,4,1
JAM,2012,0.09,8,1
JAM,2013,0.29,22,1
JAM,2014,0.1,7,1
JAM,2015,0.06,3,1
JAM,2016,0.09,5,1
JAM,2017,0.07,4,1
KHM,2000,1.47,72,1
KHM,2001,1.57,75,1
KHM,2002,1.95,89,1
KHM,2003,1.23,65,1
KHM,2004,1.23,62,1
KHM,2005,1.54,77,1
KHM,2006,1.63,84,1
KHM,2007,2.02,97,1
KHM,2008,0.81,36,1
KHM,2009,1.78,173,1
KHM,2010,1.58,182,1
KHM,2011,2.31,250,1
KHM,2012,2.17,203,1
KHM,2013,1.93,148,1
KHM,2014,1.87,125,1
KHM,2015,1.7,89,1
KHM,2016,1.44,76,1
KHM,2017,1.1,59,1
LSO,2000,0.18,9,1
LSO,2001,0.21,10,1
LSO,2002,0.9,41,1
LSO,2003,0.42,22,1
LSO,2004,0.36,18,1
LSO,2005,0.28,14,1
LSO,2006,0.23,12,1
LSO,2007,0.33,16,1
LSO,2008,0.11,5,1
LSO,2009,0.16,16,1
LSO,2010,0.03,4,1
LSO,2011,0.13,14,1
LSO,2012,0.01,1,1
LSO,2013,0.03,2,1
LSO,2014,0.06,4,1
LSO,2015,0.1,5,1
LSO,2016,0.15,8,1
LSO,2017,0.06,3,1
MAR,2000,0.43,21,1
MAR,2001,0.31,15,1
MAR,2002,0.26,12,1
MAR,2003,0.26,14,1
MAR,2004,0.54,27,1
MAR,2005,0.22,11,1
MAR,2006,0.48,25,1
MAR,2007,0.48,23,1
MAR,2008,0.25,11,1
MAR,2009,0.1,10,1
MAR,2010,0.19,22,1
MAR,2011,0.16,17,1
MAR,2012,0.45,42,1
MAR,2013,0.44,34,1
MAR,2014,0.3,20,1
MAR,2015,0.4,21,1
MAR,2016,0.81,43,1
MAR,2017,1.05,56,1
THA,2000,2.9,142,1
THA,2001,2.88,138,1
THA,2002,5.05,231,1
THA,2003,3.55,188,1
THA,2004,4.4,222,1
THA,2005,4.09,205,1
THA,2006,2.3,119,1
THA,2007,2.06,99,1
THA,2008,1.66,74,1
THA,2009,2.33,227,1
THA,2010,2.04,234,1
THA,2011,2.7,292,1
THA,2012,2.48,232,1
THA,2013,2.28,175,1
THA,2014,1.76,118,1
THA,2015,1.85,97,1
THA,2016,1.08,57,1
THA,2017,1.22,65,1
TON,2000,0.04,2,1
TON,2001,0.02,1,1
TON,2002,0.02,1,1
TON,2003,0.06,3,1
TON,2004,0.12,6,1
TON,2005,0.18,9,1
TON,2006,0.23,12,1
TON,2007,0.06,3,1
TON,2008,0.11,5,1
TON,2009,0.22,21,1
TON,2010,0.05,6,1
