"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"153","Republic of Iceland, Iceland",151,80,105,145,141,136,140,160,267,363,1031,419,256,195,215
"154","Republic of India, India",3090,3154,4462,4133,4016,4886,4533,3955,3495,9315,10416,7689,6586,5965,4808
"155","Republic of Indonesia, Indonesia",2436,2354,3211,3437,3222,4060,3788,4120,2812,7030,7533,6961,4815,3227,2307
"156","Republic of Iraq, Iraq",1828,1936,4797,17292,11056,5695,5152,5796,3025,4441,4549,3762,3136,3282,3648
"157","Republic of Kazakhstan, Kazakhstan",581,567,832,515,594,812,1325,978,1179,1750,2857,1927,1496,1378,1190
"158","Republic of Kenya, Kenya",1755,1814,1772,1872,1839,1986,2140,2187,1624,3091,2786,2994,3415,3005,2320
"159","Republic of Kiribati, Kiribati",24,9,20,16,39,28,35,33,16,105,62,74,70,50,34
"160","Republic of Korea, South Korea",2998,3358,5299,4404,4225,4314,4996,4599,5466,10850,12900,9068,7291,6205,5476
"161","Republic of Kosovo, Kosovo",719,710,187,230,258,239,279,710,767,309,464,331,239,194,173
"162","Republic of Latvia, Latvia",260,171,191,276,450,260,340,352,499,499,603,460,326,302,685
"163","Republic of Liberia, Liberia",220,348,297,693,283,289,300,280,200,293,339,452,280,181,883
"164","Republic of Lithuania, Lithuania",251,246,241,281,401,374,351,345,604,445,398,452,351,405,717
"165","Republic of Macedonia, Macedonia",214,903,250,215,268,225,268,276,321,538,375,242,244,202,259
"166","Republic of Madagascar, Madagascar",116,122,265,119,183,177,173,421,175,884,350,278,391,392,244
"167","Republic of Malawi, Malawi",236,334,444,391,503,279,522,438,146,497,409,296,440,252,173
"168","Republic of Maldives, Maldives",84,116,114,84,334,337,96,127,107,182,396,326,483,502,397
"169","Republic of Mali, Mali",194,213,199,188,253,152,207,358,309,534,615,411,1399,1579,601
"170","Republic of Malta, Malta",143,130,111,149,157,137,99,163,160,422,164,378,147,218,398
"171","Republic of Mauritius, Mauritius",193,187,233,199,229,180,183,224,176,314,333,215,211,190,110
"172","Republic of Moldova, Moldova",179,179,89,115,96,164,192,168,178,448,322,172,186,200,203
"173","Republic of Mozambique, Mozambique",728,709,752,863,653,478,460,724,207,896,649,795,619,493,424
"174","Republic of Namibia, Namibia",566,477,421,351,317,192,317,467,228,296,373,353,321,291,220
"175","Republic of Nicaragua, Nicaragua",204,168,97,206,218,169,168,186,322,710,379,264,187,186,111
"176","Republic of Niger, Niger",117,101,136,205,185,190,198,327,130,318,526,527,430,390,200
"177","Republic of Palau, Palau",22,10,8,16,62,24,47,33,28,103,54,46,77,67,22
"178","Republic of Panama, Panama",269,180,176,211,293,299,285,263,480,758,817,577,235,280,155
"179","Republic of Paraguay, Paraguay",275,364,514,358,459,316,520,340,439,656,883,331,277,307,151
"180","Republic of Peru, Peru",575,568,430,585,793,742,661,846,1326,1163,1155,857,549,705,442
"181","Republic of Poland, Poland",617,686,811,742,1012,1141,1782,2195,2707,2840,2902,2087,1914,1442,1699
"182","Republic of Rwanda, Rwanda",713,742,665,681,973,629,496,480,337,910,768,522,633,513,421
"183","Republic of Senegal, Senegal",249,307,729,368,360,277,427,504,332,557,480,352,630,385,321
"184","Republic of Seychelles, Seychelles",98,93,154,145,120,96,132,208,106,223,323,219,202,109,66
"185","Republic of Sierra Leone, Sierra Leone",813,560,416,262,146,142,191,197,170,241,322,209,286,184,898
"186","Republic of Singapore, Singapore",2115,2199,3052,3081,3318,4501,4563,4351,2591,6880,7161,6506,5335,4371,3555
"187","Republic of Slovenia, Slovenia",390,459,609,509,502,590,671,646,1053,1053,1227,968,833,625,821
"188","Republic of South Africa, South Africa",2554,2650,2942,2502,2550,2200,2472,2822,2035,4141,6675,3961,3626,3758,2127
"189","Republic of Suriname, Suriname",41,15,26,26,52,48,21,51,76,90,73,76,58,78,26
"190","Republic of Tajikistan, Tajikistan",260,369,235,166,201,226,492,234,380,483,690,487,432,224,409
"191","Republic of Trinidad and Tobago, Trinidad and Tobago",148,123,72,82,114,146,233,110,217,574,176,125,156,230,116
"192","Republic of Tunisia, Tunisia",417,437,508,437,841,446,492,525,501,817,825,2912,1678,919,561
"193","Republic of Turkey, Turkey",19,5,7,1,2,5,8,20,1,9,18,21,13,2,3
"194","Republic of Uganda, Uganda",1405,1409,1624,2062,1950,1762,1729,1660,584,1612,1677,1142,1276,903,808
"195","Republic of Uzbekistan, Uzbekistan",320,580,590,342,399,509,764,542,603,900,1450,950,781,505,442
"196","Republic of Vanuatu, Vanuatu",54,31,20,33,150,83,102,108,81,262,366,270,183,107,83
"197","Republic of Yemen, Yemen",318,245,321,165,249,165,277,181,255,1110,2228,3827,2544,1128,943
"198","Republic of Zambia, Zambia",1083,1052,986,1055,1015,850,1758,1876,423,1354,987,864,904,696,563
"199","Republic of Zimbabwe, Zimbabwe",1594,1488,1725,1203,1247,1031,1362,1467,1054,1829,1155,901,783,860,566
"200","Republic of the Congo",269,252,202,282,312,224,271,225,154,293,330,206,207,246,106
"201","Republic of the Marshall Islands, Marshall Islands",20,25,13,19,54,25,44,35,36,135,79,47,48,67,21
"202","Republic of the Philippines, Philippines",1592,1682,2551,2681,2498,2124,2034,2217,1444,5496,4920,4141,3219,3019,1987
"203","Republic of the Sudan, Sudan",602,549,812,791,2032,1621,2001,1904,929,2095,2452,2307,2112,1322,732
"204","Reunion",19,11,5,20,8,14,18,36,14,35,34,20,12,5,12
"205","Romania",975,723,524,618,907,898,1029,1162,1736,1894,1528,1375,1211,1106,1040
"206","Russian Federation, Russia",4772,5186,4810,6038,6128,5897,7318,6786,9539,11930,16594,12304,10931,9147,9920
"207","Saint Helena, Ascension, and Tristan da Cunha, Saint Helena",NA,1,3,NA,NA,NA,1,3,3,2,2,NA,2,3,NA
"208","Saint Lucia",23,7,19,19,33,36,10,25,17,11,56,15,17,26,19
"209","Saint Vincent and the Grenadines",21,5,3,11,5,16,NA,31,23,23,19,21,8,19,4
