,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
158,"Republic of Kenya, Kenya",0.77,0.78,0.74,0.73,0.69,0.78,0.68,0.73,0.5,0.58,0.47,0.57,0.77,0.83,0.75
159,"Republic of Kiribati, Kiribati",0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.02,0.01,0.01
160,"Republic of Korea, South Korea",1.32,1.44,2.22,1.73,1.58,1.68,1.6,1.54,1.69,2.04,2.16,1.72,1.65,1.71,1.76
161,"Republic of Kosovo, Kosovo",0.32,0.3,0.08,0.09,0.1,0.09,0.09,0.24,0.24,0.06,0.08,0.06,0.05,0.05,0.06
162,"Republic of Latvia, Latvia",0.11,0.07,0.08,0.11,0.17,0.1,0.11,0.12,0.15,0.09,0.1,0.09,0.07,0.08,0.22
163,"Republic of Liberia, Liberia",0.1,0.15,0.12,0.27,0.11,0.11,0.1,0.09,0.06,0.06,0.06,0.09,0.06,0.05,0.28
164,"Republic of Lithuania, Lithuania",0.11,0.11,0.1,0.11,0.15,0.15,0.11,0.12,0.19,0.08,0.07,0.09,0.08,0.11,0.23
165,"Republic of Macedonia, Macedonia",0.09,0.39,0.1,0.08,0.1,0.09,0.09,0.09,0.1,0.1,0.06,0.05,0.06,0.06,0.08
166,"Republic of Madagascar, Madagascar",0.05,0.05,0.11,0.05,0.07,0.07,0.06,0.14,0.05,0.17,0.06,0.05,0.09,0.11,0.08
167,"Republic of Malawi, Malawi",0.1,0.14,0.19,0.15,0.19,0.11,0.17,0.15,0.05,0.09,0.07,0.06,0.1,0.07,0.06
168,"Republic of Maldives, Maldives",0.04,0.05,0.05,0.03,0.12,0.13,0.03,0.04,0.03,0.03,0.07,0.06,0.11,0.14,0.13
169,"Republic of Mali, Mali",0.09,0.09,0.08,0.07,0.09,0.06,0.07,0.12,0.1,0.1,0.1,0.08,0.32,0.44,0.19
170,"Republic of Malta, Malta",0.06,0.06,0.05,0.06,0.06,0.05,0.03,0.05,0.05,0.08,0.03,0.07,0.03,0.06,0.13
171,"Republic of Mauritius, Mauritius",0.09,0.08,0.1,0.08,0.09,0.07,0.06,0.07,0.05,0.06,0.06,0.04,0.05,0.05,0.04
172,"Republic of Moldova, Moldova",0.08,0.08,0.04,0.05,0.04,0.06,0.06,0.06,0.06,0.08,0.05,0.03,0.04,0.06,0.07
173,"Republic of Mozambique, Mozambique",0.32,0.3,0.32,0.34,0.24,0.19,0.15,0.24,0.06,0.17,0.11,0.15,0.14,0.14,0.14
